Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log Î½Sync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag,Seq,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,z,u_z,Rmag,Class,FR,F143,FX,FF,aro,RA_deg,DEC_deg,Separation
21,3FGL J0018.4+2947,RBS 0042,5BZBJ0018+2947,bll,4.615790258,29.79199,0.1,HSP,16.813,1.0,0.0,0.93,4.96,2.1357462E-10,1.8645,PowerLaw,1.86,33.804,1.43e- 11,17.4709,18.04,55,5BZB J0018+2947,0,18,27.78,+,29,47,30.8,114.44,-32.54,0.1,?,18.4,BL Lac,33.0,0,5.89,2.0E-10,0.51,4.615749999999999,29.79188888888889,0.3851171041883215
22,3FGL J0018.9- 8152,PMN J0019-8152,5BZBJ0019-8152,bll,4.836017346,-81.88094733,0.0,HSP,15.144,1.0,0.82,0.91,10.65,6.5296818E-10,2.0754,PowerLaw,2.08,87.0,4.99e- 12,16.3476,0.0,56,5BZB J0019-8152,0,19,20.58,-,81,52,51.31,304.31,-35.17,0.0," ",16.1,BL Lac,83.0,0,0.51,9.0E-10,0.298,4.835749999999999,-81.88091944444444,0.16897886852859742
24,3FGL J0019.4+2021,PKS 0017+200,5BZBJ0019+2021,bll,4.907727063,20.36267901,0.0,LSP,12.32,0.99,0.92,0.0,5.04,2.9451058E-10,2.2486,PowerLaw,2.25,983.9924,0,19.899,19.16,57,5BZB J0019+2021,0,19,37.84,+,20,21,45.79,112.89,-41.89,0.0," ",20.3,BL Lac,983.0,0,0.17,7.0E-10,0.962,4.907666666666667,20.362719444444444,0.25047839883588296
25,3FGL J0021.6- 2553,CRATES J002132.55- 255049.3,5BZBJ0021-2550,bll,5.385622988,-25.84705203,0.0,ISP,14.528,0.99,0.0,0.0,11.57,5.9683669E-10,2.0993,PowerLaw,2.1,69.0158,0,17.2214,0.0,61,5BZB J0021-2550,0,21,32.53,-,25,50,49.2,42.1,-83.19,0.0," ",17.5,BL Lac,69.0,0,0.18,9.0E-10,0.508,5.385541666666667,-25.846999999999998,0.3232655399513498
27,3FGL J0022.1- 1855,1RXS J002209.2- 185333,5BZBJ0022-1853,bll,5.538621017,-18.89301871,0.0,HSP,15.13,0.99,0.0,0.83,16.69,9.0110558E-10,1.799,PowerLaw,1.8,22.5263,1.09e- 12,17.4473,0.0,66,5BZB J0022-1853,0,22,9.27,-,18,53,34.8,82.14,-79.37,0.0," ",18.6,BL Lac,23.0,0,0.69,9.0E-10,0.446,5.538625,-18.893,0.0687086246762752
28,3FGL J0022.1- 5141,1RXS J002159.2- 514028,5BZBJ0022-5140,bll,5.49933333,-51.6738056,0.0,HSP,15.68,1.0,0.0,0.9,13.71,7.0081763E-10,1.9874,PowerLaw,1.99,20.0,5.09e- 12,16.5794,0.0,63,5BZB J0022-5140,0,22,0.07,-,51,40,24.2,313.69,-64.84,0.0," ",15.9,BL Lac,20.0,0,3.22,4.0E-10,0.193,5.500291666666667,-51.67338888888889,2.613026649900563
29,3FGL J0022.5+0608,PKS 0019+058,5BZBJ0022+0608,bll,5.635171717,6.134519133,0.0,LSP,13.112,1.0,0.94,0.0,28.18,2.1621784E-9,2.0732,PowerLaw,2.07,340.3242,0,19.5096,17.83,67,5BZB J0022+0608,0,22,32.44,+,6,8,4.41,110.0,-56.01,0.0," ",18.5,BL Lac,340.0,0,0.25,2.2E-9,0.652,5.635166666666667,6.134558333333334,0.14227429226515767
30,3FGL J0023.5+4454,B3 0020+446,5BZUJ0023+4456,fsrq,5.897676979,44.94326604,1.062,LSP,13.05,1.0,0.8,0.0,8.96,4.6260507E-10,2.5685,PowerLaw,2.57,140.6026,0,0.0,0.0,68,5BZU J0023+4456,0,23,35.44,+,44,56,35.8,117.76,-17.65,2.023,?,21.7,Blazar Uncertain type,140.0,0,0.0,7.0E-10,0.761,5.897666666666667,44.94327777777777,0.04975986976319066
31,3FGL J0024.4+0350,GB6 J0024+0349,5BZQJ0024+0349,fsrq,6.188405292,3.817663486,0.545,LSP,13.649,0.98,0.0,0.0,5.71,3.924302E-10,2.2782,PowerLaw,2.28,22.085,0,19.8116,18.63,71,5BZQ J0024+0349,0,24,45.2,+,3,49,3.68,110.15,-58.39,0.545," ",19.6,QSO RLoud flat radio sp.,22.0,0,0.0,5.0E-10,0.611,6.1883333333333335,3.8176888888888887,0.27417732172440995
32,3FGL J0026.7- 4603,1RXS J002636.3- 460101,5BZBJ0026-4601,bll,6.64879166,-46.0192222,0.0,HSP,17.408,1.0,0.0,0.9,5.08,2.0787713E-10,2.4503,PowerLaw,2.45,38.7,1.41e- 11,18.0657,0.0,74,5BZB J0026-4601,0,26,35.62,-,46,1,9.69,315.92,-70.48,0.0," ",17.5,BL Lac Candidate,38.0,0,8.01,0.0,0.411,6.648416666666667,-46.01935833333333,1.0578193498897548
