Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
1559,3FGL J2334.8+1432,NVSS J233453+143214,5BZBJ2334+1432,bll,353.7243194,14.53743611,0,ISP,14.055,1,0.89,0,19.64,0.0000000012974888,1.8775,PowerLaw,1.88,63.903,0,17.9696,17.67
1560,3FGL J2335.1- 0133,PKS 2332-017,5BZQJ2335-0131,fsrq,353.8350503,-1.519330958,1.182,LSP,12.719,0.99,0.87,0,5.94,0.00000000039866979,2.4611,PowerLaw,2.46,724.7087,0,18.3633,18.34
1561,3FGL J2336.5+2356,B2 2334+23,,bcu I,354.178406,23.9232371,0.1267,-,0,0,0.9,0.88,5.93,0.00000000032933056,2.1337,PowerLaw,2.13,434.1748,5.74e- 12,0,0
1562,3FGL J2336.5- 4116,PKS 2333-415,5BZQJ2336-4115,fsrq,354.1416045,-41.25610668,1.406,LSP,13.211,1,0.93,0,16.46,0.00000000096456687,2.2393,PowerLaw,2.24,532.4,0,0,0
1563,3FGL J2336.5- 7620,PMN J2336-7620,,bcu III,354.1150328,-76.34386629,0,-,0,1,0.84,0,8.13,0.00000000047326804,2.3302,PowerLaw,2.33,154.1,0,16.7209,0
1564,3FGL J2338.1- 0229,PKS 2335-027,5BZQJ2337-0230,fsrq,354.4889128,-2.516008164,1.071,LSP,13.396,1,0.91,0,19.02,0.0000000012656032,2.4959,PowerLaw,2.5,649.5062,0,18.93,17.83
1565,3FGL J2338.7- 7401,1RXS J233919.8- 740439,,bcu II,354.836625,-74.0769167,0,HSP,16.195,0.97,0,0.8,10.34,0.00000000054001642,1.8879,PowerLaw,1.89,52.3,2.85e- 12,16.1405,0
1566,3FGL J2339.0+2122,RX J2338.8+2124,5BZBJ2338+2124,bll,354.7349331,21.4114625,0.291,ISP,14.831,1,0,0.91,8.36,0.00000000050337751,2.1791,PowerLaw,2.18,45.872,7.32e- 12,17.3688,16.68
1567,3FGL J2340.7+8016,1RXS J234051.4+801513,5BZBJ2340+8015,bll,355.2259554,80.25444945,0.274,HSP,15.64,1,0.87,0.96,32.14,0.0000000024419455,1.9157,PowerLaw,1.92,49.0146,1.04e- 11,16.9696,0
1568,3FGL J2343.6+1551,MG1 J234342+1542,5BZQJ2343+1543,fsrq,355.9281217,15.71749399,1.441,LSP,12.908,0.94,0,0,4.5,0.00000000021614784,2.6649,PowerLaw,2.66,148.9384,0,19.74,17.1
1569,3FGL J2343.7+3437,1RXS J234332.5+343957,5BZBJ2343+3439,bll,355.8899426,34.66415355,0.366,HSP,15.148,1,0,0.92,6.82,0.00000000029790545,1.7544,PowerLaw,1.75,35.0213,1.51e- 11,17.7419,17.75
1570,3FGL J2344.4+0549,1RXS J234354.4+054713,,bcu II,355.9835764,5.783913758,0,ISP,14.759,0.86,0,0,4.67,0.00000000036380091,2.1931,PowerLaw,2.19,19.2441,0,16.5093,12.88
1571,3FGL J2345.2- 1554,PMN J2345-1555,5BZQJ2345-1555,fsrq,356.3019263,-15.91884292,0.621,LSP,13.522,1,0.95,0,82.32,0.000000011421105,2.0177,LogParabola,2.09,226.8716,0,18.7508,0
1572,3FGL J2346.7+0705,TXS 2344+068,,bcu II,356.6663896,7.085237,0,ISP,14.755,1,0.92,0.84,13.84,0.00000000093583519,1.7787,PowerLaw,1.78,302.7957,8.42e- 13,16.0191,15.95
1573,3FGL J2348.0- 1630,PKS 2345-16,5BZQJ2348-1631,fsrq,357.0108689,-16.52000617,0.576,LSP,13.168,1,0.98,0.9,26,0.0000000025641673,2.2028,PowerLaw,2.2,2641.9917,2.51e- 12,17.2418,0
1574,3FGL J2348.4- 5100,SUMSS J234852- 510311,,bcu II,357.2212503,-51.05389168,0,LSP,13.985,0.92,0,0,5.92,0.00000000032420736,2.3057,PowerLaw,2.31,41.4,0,18.0079,0
1575,3FGL J2350.4- 3004,NVSS J235034- 300603,,bll,357.64318,-30.1008961,0.22368,HSP,15.688,1,0,0,9.12,0.00000000050933058,2.0805,PowerLaw,2.08,38.0693,0,17.0957,0
1576,3FGL J2352.0+1752,CLASS J2352+1749,5BZBJ2352+1749,bll,358.0243222,17.82048513,0,HSP,15.24,0.98,0,0,8.92,0.00000000050149995,2.0136,PowerLaw,2.01,44.7032,0,17.9789,17.2
1577,3FGL J2353.3- 4805,SUMSS J235310- 480558,,bcu III,358.2925,-48.0995,0,-,0,0.98,0,0,4.49,0.00000000023081032,2.0105,PowerLaw,2.01,88.5,0,0,0
1578,3FGL J2353.6- 3037,PKS 2351-309,5BZBJ2353-3037,bll,358.4477453,-30.6301397,0.737,LSP,13.8,1,0.9,0,7.96,0.00000000044303547,2.2824,PowerLaw,2.28,397.8406,0,17.3499,0
1579,3FGL J2353.7- 3911,NVSS J235342- 391442,,bcu III,358.4292064,-39.24564157,0,-,0,0.97,0,0,4.59,0.00000000023324662,2.2809,PowerLaw,2.28,7.4408,0,20.6276,0
1580,3FGL J2354.1+4605,4C +45.51,5BZQJ2354+4553,fsrq,358.5903342,45.88451011,1.992,LSP,12.676,0.85,0.88,0,6.25,0.00000000036567319,2.4791,PowerLaw,2.48,1872.842,0,19.525,0
1581,3FGL J2355.5+8154,S5 2353+81,5BZQJ2356+8152,fsrq,359.0949747,81.88118197,1.344,LSP,13.252,1,0.84,0,5.83,0.00000000021423076,2.8691,PowerLaw,2.87,520.9636,0,19.483,0
1582,3FGL J2356.0+4037,NVSS J235612+403648,5BZGJ2356+4036,bll,359.052823,40.6134547,0.331,HSP,15.924,1,0,0,9.07,0.00000000043463511,1.7225,PowerLaw,1.72,24.9649,0,14.3495,0
1583,3FGL J2357.3- 0150,PKS 2354-021,5BZBJ2357-0152,bll,359.3547415,-1.870974836,0.812,LSP,13.378,1,0.87,0,5.49,0.00000000030409153,2.1234,PowerLaw,2.12,233.6166,0,0,18.63
1584,3FGL J2357.4- 1716,RBS 2066,5BZBJ2357-1718,bll,359.373667,-17.3015001,0,HSP,16.95,1,0,0.95,8.64,0.00000000040689208,1.8025,PowerLaw,1.8,44.5119,2.14e- 11,17.6756,0
1585,3FGL J2357.8- 5310,PKS 2355-534,5BZQJ2357-5311,fsrq,359.471942,-53.18713595,1.006,LSP,12.767,1,0.96,0,12.33,0.00000000084081564,2.4555,PowerLaw,2.46,1385,0,17.7958,0
1586,3FGL J2358.0- 4552,PKS 2355-461,5BZQJ2358-4555,fsrq,359.5089184,-45.92190517,0.444,LSP,12.885,1,0.82,0,7.57,0.00000000028653019,2.6171,PowerLaw,2.62,224.7,0,18.5444,0
1587,3FGL J2358.2- 1022,PKS 2355-106,5BZQJ2358-1020,fsrq,359.5453434,-10.33572541,1.638,LSP,12.651,0.99,0.87,0,6.36,0.00000000022748838,2.7963,PowerLaw,2.8,768.8967,0,18.5417,18.33
1588,3FGL J2358.3- 2853,PMN J2358-2853,,bcu II,359.5707149,-28.89280615,0,LSP,13.495,0.99,0.82,0,6.23,0.00000000028849131,2.414,PowerLaw,2.41,168.8392,0,19.7895,0
1589,3FGL J2358.9+3926,B2 2356+39,5BZQJ2358+3922,fsrq,359.7493965,39.37452936,1.201,LSP,12.918,1,0.85,0,4.68,0.00000000033950465,2.2085,PowerLaw,2.21,421.1825,1.05e- 12,0,0
1591,3FGL J2359.5- 2052,TXS 2356-210,,bll,359.831885,-20.7988744,0.096,HSP,15.65,0,0.84,0,6.94,0.0000000003368972,2.0177,PowerLaw,2.02,472.6873,1.54e- 12,15.0989,0
1592,3FGL J0012.4+7040,TXS 0008+704,,bcu II,2.882928287,70.75878494,0,LSP,13.075,0.91,0.86,0,4.55,0.00000000043555418,2.4837,PowerLaw,2.48,638.9208,0,0,0
1593,3FGL J0014.6+6119,4C +60.01,,bcu II,3.703300496,61.2954284,0,LSP,13.113,1,0.98,0,7.39,0.00000000067028427,1.8875,PowerLaw,1.89,4039.8489,0,0,0
1594,3FGL J0014.7+5802,1RXS J001442.2+580201,5BZBJ0014+5802,bll,3.6747065,58.0340353,0,HSP,16.64,0,0,0.94,5.55,0.00000000037022896,1.9128,PowerLaw,1.91,7.6918,1.04e- 11,0,0
1595,3FGL J0015.7+5552,GB6 J0015+5551,,bcu II,3.91736743,55.8622557,0,HSP,15.791,1,0.87,0.95,6.39,0.0000000004449196,2.1145,PowerLaw,2.11,84.9592,1.52e- 11,0,0
1596,3FGL J0035.9+5949,1ES 0033+595,5BZBJ0035+5950,bll,8.969354496,59.83458752,0,HSP,17.12,1,0.93,0.98,27.48,0.0000000026650442,1.8978,PowerLaw,1.9,148.464,3.18e- 11,0,0
1597,3FGL J0047.0+5658,GB6 J0047+5657,5BZBJ0047+5657,bll,11.75178673,56.96177637,0.747,-,0,1,0.91,0,18.09,0.000000001580403,2.2243,PowerLaw,2.22,190.2077,0,0,0
1598,3FGL J0047.9+5447,1RXS J004754.5+544758,,bcu II,11.966113,54.7957871,0,HSP,15.896,0,0,0.89,5.04,0.00000000013409576,1.3335,PowerLaw,1.33,13.9026,3.12e- 12,0,0
1599,3FGL J0102.8+5825,TXS 0059+581,5BZUJ0102+5824,fsrq,15.69067658,58.4030935,0.644,LSP,12.941,1,0.96,0,51.5,0.0000000061794512,2.0943,LogParabola,2.25,848.8187,0,0,0
1600,3FGL J0103.4+5336,1RXS J010325.9+533721,,bll,15.85815846,53.62035532,0,-,0,0,0.82,0.93,10.36,0.00000000068390532,2.039,PowerLaw,2.04,30.8769,6.37e- 12,0,0
1601,3FGL J0109.8+6132,TXS 0106+612,5BZQJ0109+6133,fsrq,17.44310131,61.55845993,0.783,LSP,13.541,1,0.93,0,36.55,0.0000000035627536,2.3088,LogParabola,2.54,305.4908,0,0,0
1602,3FGL J0110.2+6806,4C +67.04,5BZUJ0110+6805,bll,17.55363944,68.09478245,0,ISP,14.864,1,0.97,0.9,19.86,0.0000000019231425,1.9909,PowerLaw,1.99,1714.502,2.32e- 12,0,0
1603,3FGL J0131.2+6120,1RXS J013106.4+612035,5BZBJ0131+6120,bll,22.7801102,61.34260283,0,HSP,16.3,1,0.85,0.98,21.26,0.0000000020027013,1.8618,PowerLaw,1.86,19.6962,4.71e- 11,0,0
1604,3FGL J0131.3+5548,TXS 0128+554,,bcu I,22.8076026083,55.753605475,0.03649,-,0,0.99,0.83,0.81,4.89,0.00000000034816386,1.9039,PowerLaw,1.9,174.9534,2.19e- 12,0,0
1605,3FGL J0135.0+6927,TXS 0130+691,,bcu III,23.6698384833,69.4196941556,0,-,0,0.98,0.83,0,4.89,0.00000000042440906,2.5568,PowerLaw,2.56,202.1406,0,0,0
1606,3FGL J0137.8+5813,1RXS J013748.0+581422,5BZBJ0137+5814,bcu II,24.46031855,58.23647844,0,HSP,16.58,1,0.92,0.97,13.48,0.0000000011569062,2.0572,PowerLaw,2.06,170.8556,2.52e- 11,0,0
1607,3FGL J0148.3+5200,GB6 J0148+5202,,bcu III,27.08473,52.034702,0,-,0,1,0,0,9.89,0.00000000053208454,1.7703,PowerLaw,1.77,44.51,0,0,0
1608,3FGL J0153.4+7114,TXS 0149+710,5BZGJ0153+7115,bcu I,28.35771303,71.25179531,0.022,HSP,15.699,1,0.95,0.93,7.06,0.00000000024517183,1.567,PowerLaw,1.57,578.3218,4.83e- 12,0,0
1609,3FGL J0211.7+5402,TXS 0207+538,,bcu III,32.7349546,54.0869193,0,-,0,0,0.83,0,4.47,0.00000000035677192,2.6913,PowerLaw,2.69,448.7961,0,0,0
1610,3FGL J0214.4+5143,TXS 0210+515,5BZGJ0214+5144,bll,33.5747268,51.74776327,0.049,HSP,15.041,1,0.9,0.94,7.23,0.00000000041759668,2.042,PowerLaw,2.04,294.8543,1.77e- 11,0,0
