Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
394,3FGL J0532.0- 4827,PMN J0531-4827,,bcu II,82.99422986,-48.45999249,0,LSP,13.11,1,0.94,0.85,73.83,0.0000000083622425,2.0313,LogParabola,2.1,161.7,2.26e- 13,0,0
395,3FGL J0532.7+0732,OG 050,5BZQJ0532+0732,fsrq,83.16249358,7.545373589,1.254,LSP,12.91,1,0.98,0,50.9,0.0000000058604264,2.203,LogParabola,2.32,2729.332,0,18.3791,0
396,3FGL J0533.0- 3939,PKS 0531-397,,bcu II,83.2382731,-39.68584193,0,LSP,13.145,0.99,0,0,6.84,0.00000000037714715,2.4877,PowerLaw,2.49,163.8,0,21.65,0
397,3FGL J0533.6- 8323,PKS 0541-834,5BZQJ0533-8324,fsrq,83.40984047,-83.40992599,0.774,LSP,13.499,1,0.81,0,11.7,0.00000000081105972,2.296,PowerLaw,2.3,85.8,0,20.64,0
398,3FGL J0535.6- 2749,PMN J0535-2751,,bcu II,83.9650007,-27.8654567,0,LSP,13.22,0.97,0,0,4.29,0.00000000024667021,2.415,PowerLaw,2.41,180.7637,0,0,0
399,3FGL J0537.4- 5717,SUMSS J053748- 571828,5BZBJ0537-5718,bll,84.4532083,-57.3080278,1.18,HSP,15.315,0.96,0,0,8.43,0.00000000043981638,2.0547,PowerLaw,2.05,102.6,3.70e- 13,17.5696,0
400,3FGL J0538.4- 3909,NVSS J053810- 390844,5BZUJ0538-3908,bcu II,84.5430776,-39.1456044,0,ISP,14.42,0.99,0,0,6.47,0.00000000033123154,2.0408,PowerLaw,2.04,24.3845,1.50e- 12,18.2252,0
401,3FGL J0538.8- 4405,PKS 0537-441,5BZBJ0538-4405,bll,84.70983982,-44.08581637,0.892,LSP,13.352,1,0.99,0.97,219.16,0.000000032959921,1.9324,LogParabola,2.04,3524,4.53e- 12,15.8602,0
402,3FGL J0540.0- 2837,PKS 0537-286,5BZQJ0539-2839,fsrq,84.97617279,-28.6655411,3.104,LSP,12.549,1,0.93,0,18.09,0.00000000079081486,2.7787,PowerLaw,2.78,862.6623,1.46e- 12,0,0
403,3FGL J0540.4+5823,GB6 J0540+5823,5BZBJ0540+5823,bll,85.12504013,58.39401539,0,HSP,16.47,0,0.86,0.96,14.07,0.00000000090919133,2.0041,PowerLaw,2,29.9421,1.34e- 11,17.2202,0
404,3FGL J0540.5- 5416,PKS 0539-543,5BZQJ0540-5418,fsrq,85.1910343,-54.30613764,1.185,LSP,12.883,1,0.89,0,14.16,0.00000000068932648,2.6284,PowerLaw,2.63,382.3,0,17.4665,0
405,3FGL J0542.2- 8737,SUMSS J054923- 874001,,bcu III,87.3907,-87.667076,0,-,0,0.85,0,0,6.43,0.00000000041702988,2.0389,PowerLaw,2.04,30.9,0,17.9641,0
407,3FGL J0543.9- 5531,1RXS J054357.3- 553206,5BZBJ0543-5532,bll,85.9867083,-55.5344167,0.273,HSP,16.575,1,0.85,0.97,25.3,0.0000000016094038,1.7673,PowerLaw,1.77,43.4,2.52e- 11,16.332,0
408,3FGL J0550.6- 3217,PKS 0548-322,5BZGJ0550-3216,bll,87.66904325,-32.2712459,0.069,-,0,1,0.92,0.97,7.16,0.00000000026753794,1.6148,PowerLaw,1.61,344.7526,5.12e- 11,12.2529,0
409,3FGL J0553.5- 2036,NVSS J055333- 203417,5BZBJ0553-2034,bcu II,88.388089,-20.5716618,0,HSP,15,0.99,0.87,0.82,9.56,0.00000000065163513,1.9852,PowerLaw,1.99,233.1905,1.62e- 12,17.7771,0
410,3FGL J0556.0- 4353,SUMSS J055618- 435146,5BZBJ0556-4351,bll,89.078125,-43.8628056,0,ISP,14.09,1,0,0,7.59,0.00000000046065998,2.2015,PowerLaw,2.2,28.3,0,18.9912,0
411,3FGL J0558.1- 3838,EXO 0556.4-3838,5BZBJ0558-3838,bll,89.52679772,-38.64210797,0.302,HSP,15.115,1,0.88,0.95,11.68,0.00000000067835931,1.9604,PowerLaw,1.96,105.7768,1.51e- 11,16.282,0
412,3FGL J0558.6- 7459,PKS 0600-749,5BZBJ0558-7459,bll,89.69183353,-74.98477942,0,LSP,13.88,1,0.9,0,9.67,0.00000000061874006,2.0545,PowerLaw,2.05,242.8,0,17.3665,0
413,3FGL J0600.9- 3943,PKS 0558-396,5BZQJ0600-3937,fsrq,90.13090625,-39.61727701,1.661,LSP,12.865,0.99,0.82,0,4.92,0.00000000028793187,2.8106,PowerLaw,2.81,461.7516,7.78e- 13,18.9649,0
414,3FGL J0601.2- 7036,PKS 0601-70,5BZQJ0601-7036,fsrq,90.29686628,-70.60244243,2.409,ISP,14.353,1,0.92,0,39.57,0.0000000030490721,2.1523,LogParabola,2.32,217.1,0,0,0
415,3FGL J0602.2+5314,GB6 J0601+5315,,bcu I,90.501855,53.26667983,0.052,HSP,15.03,0,0,0.92,8.84,0.00000000054996441,2.0334,PowerLaw,2.03,39.5313,1.14e- 11,12.9452,0
416,3FGL J0602.8- 4016,SUMSS J060251- 401845,,bcu II,90.7130417,-40.3126944,0,HSP,15,0.94,0,0,15.32,0.0000000010543847,1.9229,PowerLaw,1.92,74.6,9.20e- 13,16.7022,0
417,3FGL J0604.1- 4817,1ES 0602-482,5BZBJ0604-4817,bll,91.0359167,-48.2898611,0,HSP,16.25,1,0,0.94,7.88,0.0000000001997976,1.4376,PowerLaw,1.44,32.3,8.03e- 12,17.0018,0
418,3FGL J0604.7- 4849,1RXS J060432.7- 485007,,bcu II,91.1375833,-48.8297778,0,ISP,14.3,0.99,0.86,0,5.06,0.00000000027862523,2.3986,PowerLaw,2.4,239,3.96e- 13,20.1286,0
419,3FGL J0606.4- 4729,ESO 254- G 017,,bcu II,91.64888965,-47.49856783,0,HSP,15.05,1,0.89,0.9,6.37,0.00000000036393163,2.3274,PowerLaw,2.33,286.3,6.62e- 12,9.0554,0
420,3FGL J0607.4+4739,TXS 0603+476,5BZBJ0607+4739,bll,91.84689582,47.66303953,0,ISP,14.05,1,0.95,0,30.65,0.0000000025645459,2.1476,PowerLaw,2.15,380.5929,0,17.0504,0
421,3FGL J0608.0- 0835,PKS 0605-08,5BZQJ0607-0834,fsrq,91.9987468,-8.580549508,0.872,ISP,14.362,1,0.97,0.85,19.67,0.0000000020888749,2.3727,PowerLaw,2.37,1905.8192,1.11e- 12,16.3544,0
422,3FGL J0608.1- 1522,PMN J0608-1520,5BZUJ0608-1520,fsrq,92.00638317,-15.34360536,1.094,ISP,14.071,0.99,0.88,0,22.32,0.0000000015545261,2.247,LogParabola,2.55,279.1766,0,0,0
423,3FGL J0609.4- 0248,NVSS J060915- 024754,5BZBJ0609-0247,bll,92.31278055,-2.798522208,0,HSP,15.4,0.99,0.8,0.82,12.25,0.000000000967189,1.8983,PowerLaw,1.9,61.9646,1.43e- 12,17.5016,0
424,3FGL J0611.1- 6100,PKS 0609-609,5BZQJ0610-6058,fsrq,92.62623233,-60.97715611,1.773,LSP,12.748,0.99,0.85,0,10.51,0.00000000041318837,2.7048,PowerLaw,2.7,353.4,4.48e- 13,20.1521,0
425,3FGL J0611.2+4323,NVSS J061107+432404,,bcu II,92.7795,43.401333,0,HSP,15.6,0,0,0.84,8.09,0.00000000051404975,2.1679,PowerLaw,2.17,44.0969,1.69e- 12,0,0
426,3FGL J0612.8+4122,B3 0609+413,5BZBJ0612+4122,bll,93.21327183,41.37705781,0,ISP,14.49,1,0.95,0,45.81,0.0000000045955031,2.0253,PowerLaw,2.03,248.3535,0,16.0208,0
427,3FGL J0615.4- 3116,PKS 0613-312,5BZBJ0615-3117,bll,93.83004955,-31.28932776,0,ISP,14.7,1,0.86,0,8.65,0.00000000049059051,2.3306,PowerLaw,2.33,173.6141,0,18.8568,0
428,3FGL J0617.2+5701,87GB 061258.1+570222,5BZBJ0617+5701,bll,94.32051065,57.02122867,0,LSP,13.445,1,0.95,0,19.41,0.0000000012195799,2.041,PowerLaw,2.04,463.1484,0,16.4418,0
429,3FGL J0617.6- 1717,CRATES J061733.67- 171522.8,5BZGJ0617-1715,bll,94.38924418,-17.25696834,0.098,ISP,14.241,0.98,0.89,0,13.39,0.00000000099929087,1.9362,PowerLaw,1.94,364.4007,0,13.1456,0
430,3FGL J0618.0+7819,1REX J061757+7816.1,5BZQJ0617+7816,fsrq,94.48721995,78.26872057,1.43,LSP,12.516,1,0.83,0,6.13,0.00000000027846234,2.372,PowerLaw,2.37,157.0294,0,19.6254,0
431,3FGL J0618.2- 2429,PMN J0618-2426,,bcu II,94.59439677,-24.44387401,0,HSP,15,0.98,0.89,0,5.82,0.00000000035779146,2.4168,PowerLaw,2.42,552.3339,0,17.6576,0
432,3FGL J0618.9- 1138,TXS 0616-116,5BZUJ0619-1140,bcu I,94.76709407,-11.68191396,0.97,ISP,14.044,0.99,0.88,0,5.63,0.00000000054495214,2.4695,PowerLaw,2.47,508.3954,0,0,0
433,3FGL J0622.4- 2606,PMN J0622-2605,,bll,95.59193189,-26.09573356,0.41449,HSP,15.55,1,0.88,0.91,16.32,0.0000000011446878,1.9394,PowerLaw,1.94,106.5392,3.80e- 12,17.6326,0
434,3FGL J0625.2+4440,GB6 J0625+4440,5BZBJ0625+4440,bll,96.32610579,44.66711848,0,ISP,14.55,1,0.89,0,13.25,0.00000000085840896,2.0463,PowerLaw,2.05,122.8306,0,18.2793,16.73
435,3FGL J0626.0- 5436,PMN J0625-5438,5BZQJ0625-5438,fsrq,96.46762758,-54.64741798,2.051,LSP,12.719,1,0.84,0,8.4,0.00000000026022789,2.9208,PowerLaw,2.92,282.3,0,18.879,0
436,3FGL J0626.6- 4259,1RXS J062635.9- 425810,,bcu III,96.65296,-42.96831,0,-,0,1,0,0,7.4,0.0000000003437928,1.7398,PowerLaw,1.74,14.1,7.84e- 13,18.1818,0
437,3FGL J0627.0- 3529,PKS 0625-35,,rdg,96.77803908,-35.48759423,0.05494,HSP,15.755,1,0.98,0.96,20.12,0.000000001431083,1.8685,PowerLaw,1.87,2372.6572,1.50e- 11,9.5154,0
438,3FGL J0627.9- 1517,NVSS J062753- 152003,,bcu III,96.9717532,-15.334368,0,-,0,0,0,0.86,4.48,0.00000000026776598,2.7235,PowerLaw,2.72,43.3834,4.22e- 12,0,0
439,3FGL J0629.0- 6248,PKS 0628-627,5BZBJ0628-6248,bll,97.23953277,-62.81242903,0,LSP,12.62,1,0.92,0,9.16,0.00000000054224292,2.2291,PowerLaw,2.23,528,0,20.8969,0
440,3FGL J0629.4- 1959,PKS 0627-199,5BZBJ0629-1959,bll,97.34900777,-19.98881211,1.724,LSP,13.23,1,0.96,0,33.63,0.0000000033573819,2.1824,PowerLaw,2.18,677.0253,0,20.529,0
441,3FGL J0630.3+6906,GB6 J0629+6900,,bcu II,97.34264,69.005516,0,HSP,15,0.95,0,0,4.22,0.00000000022452636,2.393,PowerLaw,2.39,43.77,0,17.2794,0
442,3FGL J0630.9- 2406,TXS 0628-240,5BZBJ0630-2406,bll,97.7480073,-24.112834,1.238,HSP,15.5,1,0.93,0.95,38.4,0.0000000034955896,1.8094,PowerLaw,1.81,105.8231,3.64e- 12,16.4724,0
444,3FGL J0635.7- 7517,PKS 0637-75,5BZQJ0635-7516,fsrq,98.94378295,-75.27133759,0.653,LSP,13.048,1,0.98,0.92,22.79,0.0000000010400436,2.71,PowerLaw,2.71,5377,7.92e- 12,15.8999,0
445,3FGL J0638.6+7324,S5 0633+73,5BZQJ0639+7324,fsrq,99.84150509,73.41612232,1.85,LSP,12.76,1,0.92,0,10.99,0.00000000043363052,2.6406,PowerLaw,2.64,903.6968,0,18.2378,0
446,3FGL J0643.4- 5358,PMN J0643-5358,,bcu II,100.83375,-53.9795278,0,LSP,12.97,0.99,0,0,6.56,0.00000000035105774,2.4436,PowerLaw,2.44,51.1,0,0,0
447,3FGL J0644.3- 6713,PKS 0644-671,,bcu II,101.1168488,-67.21593281,0,LSP,13.7,1,0.93,0,47.82,0.0000000039509653,2.0952,PowerLaw,2.1,222.8,0,0,0
448,3FGL J0644.6- 2853,1RXS J064444.2- 285120,,bcu II,101.182479,-28.8546893,0,HSP,16.2,0,0,0.89,4.81,0.00000000031512051,2.1112,PowerLaw,2.11,53.4674,6.24e- 12,18.2354,0
449,3FGL J0645.9- 3914,PKS 0644-390,5BZQJ0646-3903,fsrq,101.6288357,-39.06086209,0.681,LSP,13.301,0.97,0,0,5.08,0.00000000018940588,2.8945,PowerLaw,2.89,314.9376,0,18.2533,0
450,3FGL J0646.4- 5452,PMN J0646-5451,,bcu II,101.619333,-54.8546111,0,LSP,13.635,0.99,0.9,0,7.06,0.00000000060920585,2.1886,LogParabola,2.29,527.4,0,0,0
451,3FGL J0647.0- 5134,1ES 0646-515,,bcu II,101.79075,-51.597,0,HSP,16.45,1,0,0.93,5.53,0.00000000034497952,2.1894,PowerLaw,2.19,70.8,3.01e- 11,16.6492,0
452,3FGL J0647.1- 4415,SUMSS J064648- 441929,,bcu II,101.70218,-44.324844,0,ISP,14.055,0.97,0,0,4.24,0.00000000024703301,2.3445,PowerLaw,2.34,48.5,0,20.18,0
453,3FGL J0647.6- 6058,PMN J0647-6058,,bcu I,101.9202185,-60.96807081,0,LSP,13.11,1,0.86,0,13.57,0.00000000082893931,2.3367,PowerLaw,2.34,110.3,0,0,0
454,3FGL J0648.1- 3045,PKS 0646-306,5BZQJ0648-3044,fsrq,102.0587352,-30.73879438,1.153,LSP,12.603,1,0.94,0,13.54,0.00000000099040887,2.5566,PowerLaw,2.56,898.5621,0,18.9054,0
455,3FGL J0649.6- 3138,1RXS J064933.8- 313914,,bcu II,102.389105,-31.6547888,0,HSP,18,1,0,0.95,9.71,0.00000000053675014,1.7287,PowerLaw,1.73,7.53,1.42e- 11,18.8216,0
456,3FGL J0650.7+2503,1ES 0647+250,5BZBJ0650+2502,bll,102.6937091,25.04989594,0.203,HSP,16.42,1,0.91,0.98,29.49,0.0000000021635072,1.7208,PowerLaw,1.72,96.7882,4.23e- 11,15.8198,0
457,3FGL J0651.3+4014,RX J0651.0+4013,,bcu II,102.772651,40.2271571,0,HSP,15.45,0.99,0,0.86,6.77,0.00000000040897999,2.1201,PowerLaw,2.12,32.2045,3.56e- 12,17.4174,0
458,3FGL J0652.0- 4808,1RXS J065201.0- 480858,,bcu II,103.00175,-48.1498611,0,HSP,16.2,0,0,0.87,5.6,0.00000000030393218,2.0442,PowerLaw,2.04,71.7,2.52e- 12,18.5355,0
459,3FGL J0653.6+2817,GB6 J0653+2816,,bcu II,103.4344897,28.26313715,0,ISP,14.195,0.99,0,0,10.33,0.00000000062553962,2.2499,PowerLaw,2.25,33.5764,0,17.7975,16.51
460,3FGL J0654.4+4514,B3 0650+453,5BZQJ0654+4514,fsrq,103.5988068,45.23987375,0.933,LSP,13.081,1,0.95,0,39.37,0.0000000028793061,2.2873,PowerLaw,2.29,382.9291,0,0,0
461,3FGL J0654.4+5042,GB6 J0654+5042,5BZQJ0654+5042,fsrq,103.5920548,50.70663149,1.253,ISP,14.153,1,0.92,0,26.31,0.0000000019774187,1.9406,LogParabola,2.1,197.9588,0,15.6552,0
462,3FGL J0656.4+4232,4C +42.22,5BZGJ0656+4237,bll,104.0444255,42.61743085,0.059,HSP,15.395,0.99,0.91,0.8,9.44,0.00000000065642736,2.0763,PowerLaw,2.08,933.715,3.76e- 12,10.982,0
463,3FGL J0658.3- 5832,PMN J0658-5824,,bcu II,104.538583,-58.4178611,0,LSP,13.74,0.87,0.82,0,4.09,0.00000000026115493,2.4019,PowerLaw,2.4,388,0,20.8814,0
464,3FGL J0658.3- 5832,PMN J0658-5840,5BZUJ0658-5840,bcu II,104.5574118,-58.67432423,0,LSP,13.74,0.96,0.84,0,4.09,0.00000000026115493,2.4019,PowerLaw,2.4,436.4,0,14.7652,0
465,3FGL J0700.3- 6310,SUMSS J065958- 631238,,bcu II,104.9944956,-63.21071623,0,ISP,14.23,0.98,0,0,5.69,0.00000000029698166,1.9936,PowerLaw,1.99,55.7,0,0,0
466,3FGL J0700.6- 6610,PKS 0700-661,5BZBJ0700-6610,bll,105.1302215,-66.17923115,0,ISP,14.49,1,0.94,0.91,37,0.000000003105874,2.0669,PowerLaw,2.07,294.5,1.26e- 12,15.1955,0
467,3FGL J0701.4- 4634,PKS 0700-465,5BZQJ0701-4634,fsrq,105.3939439,-46.57684055,0.822,LSP,13.376,1,0.93,0,21.19,0.0000000016569119,2.269,LogParabola,2.43,477.4,8.69e- 13,19.0537,0
468,3FGL J0703.4- 3914,1RXS J070312.7- 391417,,bcu II,105.8026821,-39.23858396,0,ISP,14.05,0.99,0,0,8.8,0.00000000062917876,2.2879,PowerLaw,2.29,37.1047,5.00e- 13,17.1267,0
469,3FGL J0706.1- 4849,PMN J0705-4847,,bcu II,106.494719,-48.79014503,0,LSP,12.795,0.98,0.84,0,7.79,0.00000000067298572,2.412,PowerLaw,2.41,192.8,0,0,0
470,3FGL J0706.5+3744,GB6 J0706+3744,5BZBJ0706+3744,bll,106.6320709,37.74344622,0,HSP,15.25,1,0.86,0.92,18.83,0.0000000011350871,1.8899,PowerLaw,1.89,27.4416,1.85e- 12,17.1654,0
471,3FGL J0707.0+7741,NVSS J070651+774137,5BZBJ0706+7741,bll,106.7138932,77.6936098,0,ISP,14.4,1,0.86,0,25.31,0.0000000013742665,2.0523,PowerLaw,2.05,38.1383,0,17.7514,0
472,3FGL J0707.2+6101,TXS 0702+612,5BZBJ0707+6110,bll,106.75236,61.1696023,0,-,0,0.97,0,0,6.31,0.00000000020463081,2.8132,PowerLaw,2.81,425.1995,0,16.8752,0
473,3FGL J0708.9+2239,GB6 J0708+2241,5BZBJ0708+2241,bcu II,107.2428723,22.69319339,0,HSP,15.15,1,0,0.83,7.22,0.00000000048607685,2.0765,PowerLaw,2.08,40.6752,1.94e- 12,17.4714,0
474,3FGL J0710.3+5908,1H 0658+595,5BZBJ0710+5908,bll,107.6252844,59.13899096,0.125,HSP,16.991,1,0.9,0.97,15.25,0.00000000062844607,1.661,PowerLaw,1.66,159.2902,3.25e- 11,14.8164,0
475,3FGL J0710.5+4732,S4 0707+47,5BZBJ0710+4732,bll,107.6921037,47.53642851,1.292,ISP,14.41,1,0.92,0,11.21,0.00000000050676241,2.6476,PowerLaw,2.65,1019.4137,0,14.1307,0
476,3FGL J0712.2- 6436,MRC 0712-643,,bcu II,108.256917,-64.4858889,0,LSP,13.244,0,0.91,0,5.41,0.00000000034579578,2.3833,PowerLaw,2.38,1399,4.48e- 13,19.894,0
477,3FGL J0712.6+5033,GB6 J0712+5033,5BZBJ0712+5033,bll,108.1820149,50.55630753,0.502,LSP,13.402,1,0.92,0,21.2,0.0000000013587355,2.1361,PowerLaw,2.14,189.4604,0,19.1595,0
478,3FGL J0713.9+1933,MG2 J071354+1934,5BZQJ0713+1935,fsrq,108.4819964,19.58344699,0.54,LSP,13.288,1,0.9,0,33.61,0.000000002931793,2.1316,LogParabola,2.28,219.287,0,18.7464,0
479,3FGL J0718.7- 4319,PMN J0718-4319,5BZBJ0718-4319,bll,109.6817826,-43.33047963,0,ISP,14.875,1,0.88,0.9,28.74,0.0000000023706983,1.8663,PowerLaw,1.87,85,1.13e- 12,17.1796,0
481,3FGL J0720.0- 4010,1RXS J071939.2- 401153,,bcu II,109.912292,-40.1965,0,HSP,15.8,0.95,0,0.84,6.01,0.00000000049741761,2.2282,PowerLaw,2.23,64.9,5.45e- 12,17.1853,0
482,3FGL J0721.9+7120,S5 0716+71,5BZBJ0721+7120,bll,110.472702,71.34343428,0.127,LSP,13.992,1,0.98,0.97,196.55,0.000000021998698,1.9478,LogParabola,2.04,727.3043,4.91e- 12,14.6607,0
483,3FGL J0723.7+2050,GB6 J0723+2051,,bcu II,110.9514102,20.85856162,0,HSP,15.85,1,0,0,5.69,0.0000000003508977,2.4001,PowerLaw,2.4,43.3682,0,17.1019,0
484,3FGL J0724.1+2857,GB6 J0723+2859,5BZQJ0723+2859,fsrq,110.978489854,28.9916259417,0.966,LSP,13.68,0.99,0,0,9,0.00000000043992984,2.5944,PowerLaw,2.59,38.2341,0,19.275,0
485,3FGL J0725.2+1425,4C +14.23,5BZQJ0725+1425,fsrq,111.3200323,14.42048516,1.038,ISP,14.159,1,0.97,0,69.9,0.0000000072425195,2.0947,LogParabola,2.23,1067.2598,0,17.8396,17.84
486,3FGL J0726.6- 4727,PMN J0726-4728,5BZQJ0726-4728,fsrq,111.6093342,-47.48148968,1.686,LSP,13.549,1,0.91,0,14.61,0.0000000012299626,2.464,PowerLaw,2.46,492,0,0,0
487,3FGL J0728.0+4828,GB6 J0727+4827,,bcu II,111.9993267,48.45564496,0,ISP,14.54,0.98,0,0,4.25,0.00000000023033694,2.3711,PowerLaw,2.37,91.6116,0,18.172,0
488,3FGL J0730.3+6720,GB6 J0731+6718,,fsrq,112.8558454,67.31307833,0.17,LSP,13.248,0.99,0,0,5.18,0.00000000021154786,2.6152,PowerLaw,2.62,56.8307,0,18.5381,17.04
489,3FGL J0730.5+3307,1RXS J073026.0+330727,5BZBJ0730+3307,bll,112.6086014,33.12302985,0.112,ISP,14.921,1,0,0.91,8.53,0.00000000046993576,2.1172,PowerLaw,2.12,9.2999,3.39e- 12,18.307,17.36
490,3FGL J0730.5- 6606,PMN J0730-6602,,bcu II,112.7064957,-66.03857709,0,HSP,15.25,0.97,0,0.85,8.58,0.00000000049133014,1.7891,PowerLaw,1.79,81.3,5.98e- 12,15.132,0
491,3FGL J0732.2- 4638,PKS 0731-465,,bcu II,113.1846185,-46.67144678,0,LSP,13.32,0.98,0.93,0,10.85,0.00000000076162987,2.3539,LogParabola,2.56,1403,2.71e- 12,20.27,0
492,3FGL J0733.5+5153,4C +52.17,,agn,113.412672,51.9058359,0,-,0,0,0.94,0,6.25,0.00000000025263791,1.7408,PowerLaw,1.74,846.9014,0,20.23,0
493,3FGL J0733.5+5153,NVSS J073326+515355,,bcu III,113.361633479,51.8988660389,0,-,0,1,0,0,6.25,0.00000000025263791,1.7408,PowerLaw,1.74,25,0,11.9392,0
494,3FGL J0733.8+4108,GB6 J0733+4111,5BZBJ0733+4111,bll,113.445574,41.1887809,0.67,ISP,14.548,1,0,0,6.82,0.0000000003678256,2.2221,PowerLaw,2.22,24.2741,0,17.757,17.74
495,3FGL J0733.8+5021,TXS 0730+504,5BZQJ0733+5022,fsrq,113.4688358,50.36918391,0.72,LSP,13.296,1,0.94,0,8.98,0.00000000043361142,2.5038,PowerLaw,2.5,770.1669,0,18.2812,0
496,3FGL J0734.3- 7709,PKS 0736-770,,bcu II,113.6809154,-77.18707956,0,LSP,12.515,1,0.88,0,17.21,0.0000000013898808,2.2903,PowerLaw,2.29,211.6,0,21.89,0
497,3FGL J0738.1+1741,PKS 0735+17,5BZBJ0738+1742,bll,114.5308073,17.70527725,0.424,LSP,13.984,1,0.98,0.93,55.35,0.0000000054815419,2.0064,PowerLaw,2.01,2258.2659,2.09e- 12,15.9798,14.88
498,3FGL J0739.4+0137,PKS 0736+01,5BZQJ0739+0137,fsrq,114.8251412,1.617949369,0.18941,ISP,14.125,1,0.97,0.92,38.99,0.0000000027340228,2.2454,LogParabola,2.48,1964.9073,6.36e- 12,16.2255,0
499,3FGL J0742.4- 8133c,SUMSS J074220- 813139,,bcu III,115.5880763,-81.52671614,0,-,0,0.99,0,0,4.52,0.00000000013134559,1.4639,PowerLaw,1.46,17.6,0,19.7668,0
500,3FGL J0742.6+5444,GB6 J0742+5444,5BZUJ0742+5444,fsrq,115.6657944,54.74018522,0.72,ISP,14.736,1,0.95,0.9,61.62,0.0000000046656736,2.1307,LogParabola,2.25,281.6328,9.24e- 13,17.5975,0
501,3FGL J0742.6- 5623,PMN J0743-5619,5BZQJ0743-5619,fsrq,115.8353509,-56.32582263,2.319,LSP,12.991,0.99,0.85,0,6.06,0.00000000033402872,2.6789,PowerLaw,2.68,669.8,0,19.4356,0
502,3FGL J0744.3+7434,MS 0737.9+7441,5BZBJ0744+7433,bll,116.0223974,74.56618228,0.315,HSP,17.046,1,0,0.94,11.91,0.0000000005582057,1.9692,PowerLaw,1.97,23.4149,1.36e- 11,17.0706,0
503,3FGL J0746.4+2540,B2 0743+25,5BZQJ0746+2549,fsrq,116.6078091,25.81725963,2.979,LSP,12.8,0.91,0.81,0,10.72,0.00000000034226053,2.9642,PowerLaw,2.96,427.0859,8.26e- 13,19.4707,19.47
504,3FGL J0746.6- 4756,PMN J0746-4755,,bcu II,116.675583,-47.9153056,0,HSP,15.3,1,0.86,0,14.61,0.0000000012139683,2.2543,PowerLaw,2.25,106.7,0,17.5184,0
505,3FGL J0746.9+8511,NVSS J074715+851208,,bcu II,116.8172992,85.20239508,0,HSP,16.28,1,0,0.85,9.66,0.00000000037805709,1.7873,PowerLaw,1.79,11.4078,1.18e- 12,18.8626,0
506,3FGL J0747.4+0904,RX J0747.3+0905,5BZUJ0747+0905,bll,116.8424667,9.096804139,0,HSP,16.305,1,0,0.88,5.85,0.00000000031103323,2.0663,PowerLaw,2.07,40.4344,4.53e- 12,17.5492,0
507,3FGL J0748.3+2401,S3 0745+24,5BZQJ0748+2400,fsrq,117.1504553,24.0066972,0.40985,LSP,13.119,1,0.93,0.84,9.36,0.00000000058027072,2.1563,PowerLaw,2.16,958.0938,3.01e- 12,18.3418,18.15
508,3FGL J0748.5+7910,JVAS J0750+7909,,bcu II,117.6802724,79.15472286,0,LSP,12.9,0.94,0,0,4.72,0.00000000022183901,2.3437,PowerLaw,2.34,181.5741,0,0,0
509,3FGL J0748.8+4929,NVSS J074837+493040,,bcu II,117.1573273,49.51139496,0,LSP,13.811,0.97,0,0,5.67,0.00000000033374434,2.3391,PowerLaw,2.34,35.4111,0,20.0529,19.24
510,3FGL J0749.4+1059,TXS 0746+110,,bcu I,117.3641056,10.95920181,0.214,ISP,14.349,0.99,0.82,0,6.04,0.00000000040625289,2.203,PowerLaw,2.2,199.0467,0,18.8818,17.17
511,3FGL J0750.6+1232,OI 280,5BZQJ0750+1231,fsrq,117.7168572,12.51800782,0.889,LSP,13.071,1,0.95,0,13.26,0.0000000009376917,2.4112,PowerLaw,2.41,1486.9797,0,17.1955,17.17
512,3FGL J0753.1+5353,4C +54.15,5BZBJ0753+5352,bll,118.2557691,53.88323251,0,LSP,13.28,1,0.96,0.84,16.65,0.00000000097193953,2.1059,PowerLaw,2.11,803.8206,8.98e- 13,17.365,17.22
513,3FGL J0754.8+4824,GB1 0751+485,5BZBJ0754+4823,bll,118.6902937,48.3974301,0.37671,LSP,13.839,1,0.92,0.87,18.5,0.0000000011107831,2.1427,PowerLaw,2.14,265.061,1.22e- 12,17.0027,16.37
514,3FGL J0756.3- 6433,SUMSS J075625- 643031,,bcu II,119.1025343,-64.50846616,0,HSP,15.867,1,0,0,7.79,0.00000000050438659,2.217,PowerLaw,2.22,13,0,18.0903,0
515,3FGL J0757.0+0956,PKS 0754+100,5BZBJ0757+0956,bll,119.277679,9.943014511,0.266,LSP,13.492,1,0.97,0.91,24.47,0.0000000018570876,2.1819,PowerLaw,2.18,957.043,2.28e- 12,16.5006,14.64
516,3FGL J0758.1+1130,TXS 0755+117,,fsrq,119.5319079,11.61279105,0.56879,LSP,13.621,0.97,0.84,0,4.94,0.0000000003116099,2.1647,PowerLaw,2.16,468.4612,0,16.0266,16.87
